category	task	dataset	# train	# train (after sampling)	# input tokens	# target tokens	ave input tokens	ave target tokens	is_original_task	has answer choices	t0 train	t0+ train	t0++ train	eval
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_GPT_3_Style	554		30776	1108	56	2	1	1			1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_GPT_3_Style_score_eval	1108		61552	2216	56	2	1				1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_I_think_they_mean	554		28515	1108	51	2	1	1			1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_I_think_they_mean_score_eval	1108		57030	2216	51	2	1				1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_Who_or_what_is_are	554		26672	1108	48	2	1	1			1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_Who_or_what_is_are_score_eval	1108		53344	2216	48	2	1				1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_by_p_they_mean	554		26190	1108	47	2	1	1			1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_by_p_they_mean_score_eval	1108		52380	2216	47	2	1				1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_does_p_stand_for	554		25235	1108	46	2	1	1			1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_does_p_stand_for_score_eval	1108		50470	2216	46	2	1				1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_does_the_pronoun_refer_to	554		29113	1108	53	2	1	1			1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_does_the_pronoun_refer_to_score_eval	1108		58226	2216	53	2	1				1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_in_other_words	554		27528	1698	50	3	1	1			1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_in_other_words_score_eval	1108		55056	3324	50	3	1				1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_p_is_are_r	554		26898	1698	49	3	1	1			1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_p_is_are_r_score_eval	1108		53796	3324	49	3	1				1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_replaced_with	554		31176	1108	56	2	1	1			1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_replaced_with_score_eval	1108		62352	2216	56	2	1				1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_the_pronoun_refers_to	554		29114	1698	53	3	1	1			1	1
coreference_resolution	super_glue/wsc.fixed	super_glue_wsc.fixed_the_pronoun_refers_to_score_eval	1108		58228	3324	53	3	1				1	1
coreference_resolution	winogrande/winogrande_xl	winogrande_winogrande_xl_Replace	40398		1777301	94256	44	2	1	1				1
coreference_resolution	winogrande/winogrande_xl	winogrande_winogrande_xl_Replace_score_eval	80796		3554602	188512	44	2	1					1
coreference_resolution	winogrande/winogrande_xl	winogrande_winogrande_xl_does_underscore_refer_to	40398		1575311	94256	39	2	1	1				1
coreference_resolution	winogrande/winogrande_xl	winogrande_winogrande_xl_does_underscore_refer_to_score_eval	80796		3150622	188512	39	2	1					1
coreference_resolution	winogrande/winogrande_xl	winogrande_winogrande_xl_fill_in_the_blank	40398		1858097	94256	46	2	1	1				1
coreference_resolution	winogrande/winogrande_xl	winogrande_winogrande_xl_fill_in_the_blank_score_eval	80796		3716194	188512	46	2	1					1
coreference_resolution	winogrande/winogrande_xl	winogrande_winogrande_xl_stand_for	40398		1615709	94256	40	2	1	1				1
coreference_resolution	winogrande/winogrande_xl	winogrande_winogrande_xl_stand_for_score_eval	80796		3231418	188512	40	2	1					1
coreference_resolution	winogrande/winogrande_xl	winogrande_winogrande_xl_underscore_refer_to	40398		1656107	94256	41	2	1	1				1
coreference_resolution	winogrande/winogrande_xl	winogrande_winogrande_xl_underscore_refer_to_score_eval	80796		3312214	188512	41	2	1					1
coreference_resolution	winogrande/winogrande_debiased	winogrande_winogrande_debiased_Replace	9248		413344	21512	45	2	1	1				1
coreference_resolution	winogrande/winogrande_debiased	winogrande_winogrande_debiased_Replace_score_eval	18496		826688	42957	45	2	1					1
coreference_resolution	winogrande/winogrande_debiased	winogrande_winogrande_debiased_does_underscore_refer_to	9248		367104	21512	40	2	1	1				1
coreference_resolution	winogrande/winogrande_debiased	winogrande_winogrande_debiased_does_underscore_refer_to_score_eval	18496		734208	42957	40	2	1					1
coreference_resolution	winogrande/winogrande_debiased	winogrande_winogrande_debiased_fill_in_the_blank	9248		431840	21512	47	2	1	1				1
coreference_resolution	winogrande/winogrande_debiased	winogrande_winogrande_debiased_fill_in_the_blank_score_eval	18496		863680	42957	47	2	1					1
coreference_resolution	winogrande/winogrande_debiased	winogrande_winogrande_debiased_stand_for	9248		376352	21512	41	2	1	1				1
coreference_resolution	winogrande/winogrande_debiased	winogrande_winogrande_debiased_stand_for_score_eval	18496		752704	42957	41	2	1					1
coreference_resolution	winogrande/winogrande_debiased	winogrande_winogrande_debiased_underscore_refer_to	9248		385600	21512	42	2	1	1				1
coreference_resolution	winogrande/winogrande_debiased	winogrande_winogrande_debiased_underscore_refer_to_score_eval	18496		771200	42957	42	2	1					1
natural_language_inference	super_glue/cb	super_glue_cb_GPT_3_style	250		24878	754	100	3	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_GPT_3_style_score_eval	750		74634	2250	100	3	1					1
natural_language_inference	super_glue/cb	super_glue_cb_MNLI_crowdsource	250		29221	683	117	3	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_MNLI_crowdsource_score_eval	750		87663	2750	117	4	1					1
natural_language_inference	super_glue/cb	super_glue_cb_always_sometimes_never	250		27221	500	109	2	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_always_sometimes_never_score_eval	750		81663	1500	109	2	1					1
natural_language_inference	super_glue/cb	super_glue_cb_based_on_the_previous_passage	250		26971	500	108	2	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_based_on_the_previous_passage_score_eval	750		80913	1500	108	2	1					1
